public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2010-01-31,Communication Services,52,-0.071969,-0.080035,0.227,0.454,0.566,11.587,7.25%,5.624,3.689,9.004,10.345,9.801,9.801,1.108,1.958,0.371,0.277,0.001,-0.001,0.033,0.582,0.005,0.109,0.262,0.072,0.110,0.008,0.139,0.068,0.002,0.501,0.466,0.501,0.545,0.038,0.345,0.449,0.995,0.151,0.114,0.210,0.046,1.227,0.210,2.361,0.798,0.076,0.075,0.596,1.582,1.516,0.647,0.404,0.567,1.067,1.321,21.563,0.603,1.510,1.377,0.575,17.272,7.769,9.905,1.641,0.749,8.094,-0.101,0.000,0.003,0.000
2010-01-31,Consumer Discretionary,606,-0.000832,-0.025356,0.000,0.213,0.635,11.446,2.14%,7.154,5.887,1.982,1.982,9.105,9.194,0.600,1.579,0.364,0.396,0.014,0.013,0.012,0.344,0.001,0.052,0.095,0.089,0.132,0.006,0.101,0.084,0.003,0.250,0.731,0.250,0.361,0.260,0.245,0.719,0.494,0.158,0.155,0.046,0.103,0.503,0.528,1.380,0.278,0.080,0.065,0.272,2.260,0.996,0.549,0.218,0.439,0.889,2.435,68.796,0.381,1.721,1.102,1.245,5.232,9.793,10.436,2.653,1.859,5.211,-0.112,0.000,0.014,0.000
2010-01-31,Consumer Staples,173,-0.018075,-0.010126,0.161,0.675,0.545,17.079,2.50%,7.711,7.922,13.086,13.067,12.994,12.994,0.791,1.888,0.351,0.409,0.129,0.129,0.101,0.356,0.038,0.078,0.101,0.163,0.259,0.055,0.147,0.164,0.118,0.264,0.720,0.266,0.384,0.357,0.255,0.678,0.568,0.173,0.142,0.065,0.144,0.666,0.460,1.370,0.327,0.070,0.059,0.363,2.106,1.060,0.524,0.250,0.429,4.880,7.310,58.972,0.327,1.783,1.051,1.332,6.022,10.156,11.303,3.085,1.995,7.297,-0.065,0.000,0.006,0.000
2010-01-31,Energy,224,-0.021425,-0.045463,0.000,0.201,0.748,8.692,1.22%,5.107,4.941,-1.608,-1.326,-0.613,-0.613,1.666,1.364,0.345,0.127,-0.041,-0.043,-0.006,0.242,-0.050,0.012,0.136,0.001,0.001,-0.065,0.082,0.001,-0.043,0.304,0.676,0.304,0.341,0.065,0.356,-0.172,0.761,0.257,0.088,0.075,0.032,0.455,0.254,0.642,0.378,0.071,0.066,0.412,0.797,0.969,0.515,0.236,0.408,-0.227,0.412,44.010,0.309,1.469,1.233,0.360,15.576,8.386,5.456,0.973,0.518,4.176,-0.135,0.000,0.000,0.000
2010-01-31,Financials,780,0.049950,0.002950,0.537,0.336,1.201,10.454,2.76%,11.275,4.883,5.007,5.025,6.886,6.891,1.142,0.812,0.301,0.029,0.013,0.016,0.000,0.410,0.022,0.144,0.170,0.131,0.284,0.023,0.013,0.039,0.015,0.414,0.556,0.413,0.658,0.000,0.230,0.906,0.396,0.014,0.059,0.058,0.275,0.506,0.503,4.133,0.719,0.068,0.056,0.098,55.612,8.390,0.894,0.134,0.892,1.452,2.527,258.250,0.957,1.986,1.942,0.060,5.082,0.059,0.092,0.682,0.361,2.622,-0.014,0.000,0.007,0.223
2010-01-31,Health Care,596,-0.000847,0.001810,0.000,0.066,0.397,-1.933,1.86%,4.593,4.806,-1.778,-1.701,-0.726,-0.726,2.360,2.498,0.335,0.278,-0.006,-0.012,0.000,0.392,-0.017,0.026,0.054,0.013,0.042,-0.016,0.046,0.033,-0.068,0.039,0.929,0.049,0.132,0.041,0.195,0.794,0.227,0.055,0.776,0.018,0.216,0.170,0.638,0.000,0.039,0.093,0.071,0.106,4.516,0.593,0.413,0.095,0.233,0.976,2.390,87.170,1.451,2.650,2.253,0.710,3.488,10.061,6.513,1.256,1.020,2.071,-0.073,0.093,0.000,0.000
2010-01-31,Industrials,573,-0.032802,-0.023449,0.021,0.422,0.651,13.790,1.79%,7.788,6.505,9.053,9.037,12.318,12.457,0.703,1.465,0.350,0.276,0.042,0.042,0.046,0.277,0.019,0.056,0.091,0.089,0.131,0.026,0.100,0.088,0.039,0.223,0.762,0.224,0.312,0.239,0.378,0.722,0.433,0.156,0.149,0.051,0.136,0.456,0.494,1.419,0.258,0.075,0.063,0.280,2.587,0.978,0.523,0.186,0.375,1.938,4.009,83.910,0.385,2.048,1.433,1.031,4.995,9.943,6.248,2.237,1.620,4.474,-0.082,0.000,0.000,0.000
2010-01-31,Information Technology,705,-0.029553,-0.080315,0.000,0.031,0.558,12.873,1.86%,8.226,8.907,-1.422,-1.472,4.842,4.963,1.635,1.793,0.302,0.362,-0.024,-0.024,0.000,0.488,-0.020,0.021,0.067,0.028,0.042,-0.019,0.061,0.028,-0.026,0.008,0.989,0.008,0.047,0.078,0.235,0.813,0.334,0.210,0.803,0.026,0.288,0.249,0.764,0.000,0.007,0.087,0.063,0.014,4.450,0.511,0.350,0.031,0.153,-0.586,2.009,78.045,1.249,2.578,2.087,0.773,4.234,7.504,5.893,1.232,1.096,2.240,-0.104,0.113,0.000,0.000
2010-01-31,Materials,185,-0.045540,-0.086832,0.191,0.176,0.624,14.388,1.73%,7.491,5.913,5.212,4.363,9.619,10.100,0.808,1.638,0.305,0.204,0.043,0.043,0.046,0.239,0.018,0.055,0.101,0.064,0.082,0.024,0.093,0.067,0.039,0.334,0.651,0.334,0.370,0.327,0.342,0.588,0.620,0.129,0.124,0.057,0.099,0.552,0.331,2.037,0.477,0.074,0.064,0.364,1.431,1.229,0.564,0.254,0.444,1.915,3.075,79.407,0.370,2.164,1.430,0.887,5.606,9.375,7.136,2.205,1.301,4.306,-0.080,0.002,0.000,0.000
2010-01-31,Utilities,103,-0.038227,-0.046343,0.608,1.287,0.945,15.775,4.30%,8.116,5.197,13.063,12.966,13.397,13.397,1.100,1.092,0.344,0.090,0.090,0.090,0.068,0.244,0.069,0.151,0.243,0.071,0.085,0.101,0.091,0.089,0.070,0.507,0.480,0.505,0.585,0.162,0.324,0.008,0.592,0.081,0.022,0.165,0.104,0.711,0.182,3.830,0.743,0.068,0.059,0.435,1.024,2.438,0.707,0.349,0.563,2.232,2.704,28.941,0.114,1.069,0.818,0.376,11.984,9.112,9.357,1.295,0.596,11.820,-0.048,0.000,0.000,0.000
